from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
HEWITT ASSOCIATES INC (De-listed 10/2010),262972,New York State Bar Association (NYSBA),256477,Mark Arian,895398,Leader (Non-Brd),1987-05-01,2006-07-01,Member,,
Seyfarth Shaw LLP,421472,New York State Bar Association (NYSBA),256477,Les Bliwise,890313,Partner (Non-Brd),2016-01-01,,Committee Member,,
Sills Cummis & Gross PC (Sills Cummis Epstein & Gross PC prior to 09/2007),137487,New York State Bar Association (NYSBA),256477,Les Bliwise,890313,Division Chairman (Non-Brd),,2006-02-01,Committee Member,,
BUNGE LTD,5320,New York State Bar Association (NYSBA),256477,Carla Heiss,894928,Chief Compliance Officer/Deputy General Counsel/Corporate Secretary (Non-Brd),2014-03-01,,Member,,
PhoneX Holdings Inc (Usell.com Inc prior to 05/2019),1213855,New York State Bar Association (NYSBA),256477,Todd Oretsky,887592,COO (Brd) (ED),2009-05-07,2010-02-02,Member,,
Seyfarth Shaw LLP,421472,New York State Bar Association (NYSBA),256477,Les Bliwise,890313,Of Counsel (Non-Brd),2011-02-23,2016-01-01,Committee Member,,
HARLEYSVILLE GROUP INC (De-listed 05/2012),14338,New York State Bar Association (NYSBA),256477,Jonathan Young,890166,Senior VP/Chief Claims Officer (Non-Brd),2009-05-20,2012-05-01,Member,,
WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),33026,New York State Bar Association (NYSBA),256477,Jeff Berkowitz,896089,Division President (Non-Brd),2013-01-01,2014-12-31,Member,,
Skadden Arps Slate Meagher & Flom LLP,76614,New York State Bar Association (NYSBA),256477,Todd Oretsky,887592,Attorney (Non-Brd),1999-01-01,2006-01-01,Member,,
Sutherland Asbill & Brennan LLP (Ceased Trading 02/2017),639032,New York State Bar Association (NYSBA),256477,Les Bliwise,890313,Partner (Non-Brd),2006-02-01,2011-02-01,Committee Member,,
AON PLC (Aon Corp prior to 04/2012),2297,New York State Bar Association (NYSBA),256477,Mark Arian,895398,Division Executive VP (Non-Brd),2008-10-23,2014-01-01,Member,,
UNITEDHEALTH GROUP INC (United HealthCare Corp prior to 04/2000),32107,New York State Bar Association (NYSBA),256477,Jeff Berkowitz,896089,Division Executive VP (Non-Brd),2016-01-01,2017-01-01,Member,,
CBS CORP,6098,New York State Bar Association (NYSBA),256477,Josie Thomas,894357,Senior VP/Chief Diversity Officer (Non-Brd),2010-01-01,2014-01-09,Member,,
MERCK & CO INC (Schering-Plough Corp prior to 11/2009),27219,New York State Bar Association (NYSBA),256477,Jeff Berkowitz,896089,Group VP (Non-Brd),2005-11-10,2009-12-01,Member,,
