name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Steve Millard,1815283,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Leader,1984-01-01,1993-01-01
Mads Toubro,1808369,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1982-01-01,2006-07-01
Bobby Pinero,1809380,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2010-09-01,2012-05-01
Bryan Brown,1808298,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Architect,2007-01-01,2013-01-01
Daren Hanson,1808255,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Director,2006-01-01,2009-01-01
Brendan Hannigan,1812554,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,General Manager,2011-10-01,2015-12-01
Jeff Moreau,1808872,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Executive,2017-03-01,
Mark Tanner,1808532,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Doctor Martha Pollack,1814966,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,Yes,Yes,Independent Director,2019-02-01,
Adam McMullin,1809832,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Associate Partner,2000-10-01,2004-03-01
Keith Angell,1809692,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Vice President - Transformation,2014-06-01,2015-01-01
David Hubanks,1811258,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,1996-09-01,1999-11-01
Doctor Ralph Richart,753811,International Isotopes Inc,16547,Yes,Yes,Director - SD,2002-01-22,2002-04-24
Tom Tardio,1805926,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Advisory Board Member,,
Uttam Reddy,1808585,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1989-07-01,1999-09-01
Chad Walters,1810090,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Manager,2010-02-01,2010-10-01
Jeff Cushing,1809983,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Systems Engineer,1984-12-01,1996-05-01
Dan Papes,1806764,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1984-03-01,1999-12-01
Keith Angell,1809692,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Vice President - Business Development,2008-01-01,2010-07-01
Fred Smithline,757843,International Isotopes Inc,16547,No,No,Co-Founder,1995-11-01,1995-01-01
Doctor Ralph Richart,753811,International Isotopes Inc,16547,Yes,Yes,Chairman,2006-01-01,2017-07-01
Clayton Reed,1805670,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Brad DePew,1809119,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Dennis Arndt,1806739,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Engineering,2001-11-01,2003-11-01
Linda Bernardi,1809045,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Division Chief Innovation Officer,2014-01-01,2016-01-01
David Corey,1807689,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,IT Manager,2006-12-01,2007-12-01
Keith Angell,1809692,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Vice President - Communications,2010-08-01,2012-09-01
Sal Jamil,1809695,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Division COO,2005-05-01,2007-07-01
Jay Arbabha,1809285,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Executive Advisor,2014-10-01,2016-11-01
Desi DosSantos,1809682,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Adam McMullin,1809832,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Principal,2005-07-01,2006-10-01
Michael Piloto,1809854,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Architect,2001-08-01,2003-01-01
Bob Stalick,1809941,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Systems Programmer,,
Robert Baty,1809410,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Gary Mullen,1805716,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2005-04-01,2005-10-01
Ed Hammersla III,1807310,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Mark Scully,1808924,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2004-01-01,2005-01-01
Sytse Sijbrandij,1812379,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Intern,2003-06-01,2003-10-01
Curtis Martin II,1811922,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1995-07-01,2000-07-01
Jen Jones,1813169,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Intern,2007-01-01,2007-01-01
Craig Johnson,1808350,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,1989-01-01,1995-01-01
David Corey,1807689,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Project Manager,1996-01-01,1997-01-01
Eugene Lee,1808604,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Consultant,1998-01-01,2001-01-01
Terry Low,1810306,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Manager,1987-08-01,2000-03-01
David Corey,1807689,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Manager,1997-01-01,2000-01-01
Holger Reimers,1813458,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Division VP,2012-01-01,2014-12-01
