company_id,university_id,company,university,n_grad,company_lat,company_lng,university_lat,university_lng
9023,63013,DENTSPLY SIRONA INC (DENTSPLY International Inc prior to 02/2016),Harvard Business School,1,35.0607938,-80.8458228,42.3655147,-71.1221412
9097,63013,SITE CENTERS CORP (DDR Corp prior to 10/2018),Harvard Business School,1,41.4677134,-81.4953064,42.3655147,-71.1221412
9103,63013,DEVON ENERGY CORP,Harvard Business School,1,35.4669418,-97.5177018,42.3655147,-71.1221412
9168,63013,DIAMOND HILL INVESTMENT GROUP INC,Harvard Business School,1,39.9679291,-83.0080211,42.3655147,-71.1221412
9618,63013,LCI INDUSTRIES INC (Drew Industries Inc prior to 01/2017),Harvard Business School,1,41.7236612,-85.9187951,42.3655147,-71.1221412
9730,63013,DUKE REALTY CORP,Harvard Business School,1,39.9288905,-86.1469152,42.3655147,-71.1221412
9816,63013,DMC GLOBAL INC (Dynamic Materials Corp prior to 11/2016),Harvard Business School,1,40.0732366,-105.2027065,42.3655147,-71.1221412
9940,63013,EASTMAN CHEMICAL CO,Harvard Business School,1,36.5354128,-82.5508778,42.3655147,-71.1221412
9963,63013,EATON VANCE CORP,Harvard Business School,2,42.3564429,-71.0517885,42.3655147,-71.1221412
10130,63013,EDISON INTERNATIONAL,Harvard Business School,1,34.0539466,-118.0808098,42.3655147,-71.1221412
10156,63013,EDWARDS LIFESCIENCES CORP,Harvard Business School,1,33.6984047,-117.8517225,42.3655147,-71.1221412
10364,63013,ELECTRONIC ARTS INC,Harvard Business School,1,37.5232799,-122.2541417,42.3655147,-71.1221412
10503,63013,EMCOR GROUP INC,Harvard Business School,2,41.1494149,-73.426899,42.3655147,-71.1221412
10651,63013,EDGEWELL PERSONAL CARE CO (Energizer Holdings Inc prior to 07/2015),Harvard Business School,1,38.6481405,-90.5269746,42.3655147,-71.1221412
10744,63013,ENTEGRIS INC,Harvard Business School,2,42.5498398,-71.2836742,42.3655147,-71.1221412
10748,63013,ENTERCOM COMMUNICATIONS CORP,Harvard Business School,1,40.0043773,-75.2197653,42.3655147,-71.1221412
10762,63013,ENTERPRISE PRODUCTS PARTNERS LP,Harvard Business School,1,29.7575783,-95.3688473,42.3655147,-71.1221412
10868,63013,EPLUS INC,Harvard Business School,1,38.9528571,-77.416496,42.3655147,-71.1221412
10909,63013,EQT CORP (Equitable Resources Inc prior to 02/2009),Harvard Business School,1,40.4424701,-80.0009554,42.3655147,-71.1221412
