university,university_id
California Institute of Technology (CALTECH),60243
Universit Commerciale Luigi Bocconi (Bocconi University of Milan),63019
St Gallen Business School (Business School of St Gallen),42303
Universit d'Ottawa (University of Ottawa),63569
Boroughmuir School,63920
J Mack Robinson College of Business Georgia State University,460260
Gannon University,60738
National Taiwan University (NTU),82656
Middlesex University (Middlesex Polytechnic prior to 1992),61285
St Peter's College Oxford University,63953
College of William & Mary,60420
Miami University Ohio,61276
Tuck School of Business at Dartmouth (Amos Tuck School of Business Administration),632975
Georgetown University Law Center,79195
American Society for Quality (ASQ) (Formerly known as American Society for Quality Control),126596
Tusculum College,465115
Mount Saint Mary School,583160
Michael G Foster School of Business University of Washington,1061724
Brooklyn Law School,63628
All Souls College Oxford University,63511
University of Washington,62785
Royal Society (UK),36812
Lincoln College Oxford University,63327
Institute of Directors (IOD) (UK),36364
University of California,63186
Long Beach City College (LBCC),63652
Cass Business School City University London,816983
City University London (CUL),1378256
Queen Mary's College,1604038
Erasmus Universiteit Rotterdam (Erasmus University Rotterdam),78416
University of California Irvine,383127
Centre d'Etudes Industrielles (Geneva),64296
University of Orsay,485212
Ecole Normale Suprieure of Cachan,1006980
AACSB International (Association to Advance Collegiate Schools of Business),131012
Southern University,831416
University Graduate School (The) Indiana University,1486152
Vlerick Leuven Gent Management School,102166
Virginia Military Institute,79409
University of Leeds,62407
Culver Military Academy,99317
cole Nationale Suprieure de Chimie de Paris (ENSCP),64837
University of Sydney,62715
Aix-Marseille University,530315
American University of Beirut,60053
Boalt Hall School of Law University of California,77693
University of California Santa Barbara (UCSB),62214
LeMoyne-Owen College,116311
Western Connecticut State University,484754
Saint Francis University,642772
Queen's University Belfast,61648
Wellington College,63402
St Antony's College University of Oxford,742758
Judd School Tonbridge,65223
John Carroll University (JCU),80640
Cleveland Marshall College of Law,84917
University of Buckingham,36997
Athens College,244092
University of Athens Law School,440222
Beloit College,81080
University of York,62820
Merton College Oxford University,61269
Government (France),38798
Imperial College Business School,40950
Upper Iowa University,62828
National Association of Realtors (NAR),108037
Seniors Real Estate Specialist (SRES),1345725
University of Haifa,62347
Institute of Technology Malm Sweden,64592
Norges Teknisk-Naturvitenskapelige Universitet (NTNU) (Norwegian University of Science & Technology),490886
University of Manheim,63335
Universit de Bourgogne (University of Burgundy),816754
Liverpool John Moores University,481411
Goldsmiths College University of London,60766
University of Hawaii,62352
Oriel College Oxford University,63247
University of Westminster (Polytechnic of Central London prior to 1992),62799
Frensham Heights,550179
Barney School of Business University of Hartford,1686861
University of Windsor,62800
Universite de Bordeaux (University of Bordeaux),1489868
Institute of Chartered Accountants of France,730161
Irish Council For International Students (ICOS),581248
Institut des Hautes tudes de Dfense Nationale (IHEDN),63606
London College of Law (LCL),1331517
University of California School of Business,44076
Royal College of Surgeons of Edinburgh,37057
Marlborough College,39962
Faculty of Pharmaceutical Medicine (FPM),64029
University of Texas School of Law Austin,533430
University of Rochester,62633
Texas A&M University,62040
Royal Military Colleges Dartmouth,740777
Golden Gate University,60763
Mercer University,61266
Hebrew University of Jerusalem,43828
University of Arkansas Fayetteville,62156
cole Nationale Suprieure de l'Aeronautique et de l'Espace (SUPAERO) (ENSAE),63028
Universit de Toulouse (University of Toulouse),63485
Northern Illinois University,61475
Providence College,61633
Thunderbird School of Global Management,923424
Weber State University,62901
Michael G Degroote School of Business McMaster University,592757
Yale College,64917
Montclair State University,269327
Universit Laval (Laval University),605194
Bowdoin College,60198
Solvay Brussels School of Economics & Management (Ecole de Commerce Solvay),63751
American University in Cairo (AUC),60051
cole des Hautes Etudes Commerciales de Lausanne (HEC),105761
Washington State University (WSU),62894
Rawlins High School,1243651
Scientific Lyceum (Liceo Scientifico),1640544
University of North Dakota,62536
University of Massachusetts Lowell (UMass Lowell),62459
University of Bosphorus,63099
Coventry University,64947
Hong Kong Institute of Certified Public Accountants (HKICPA) (Formerly known as Hong Kong Society of Accountants (HKSA)),625752
Houston College of Law (Formerly known as South Texas College of Law),81426
Florida State University,60692
North Carolina State University (NCSU),61450
University of Miami,62467
National Science Foundation (NSF) (USA),35988
Swarthmore College,61976
New York University Graduate School,63434
Barnard College,259346
Brown University,60224
Norwegian Institute of Technology,61497
University of Kent,42909
American Academy of Environmental Engineers and Scientists (AAEES),463839
University of Kansas,80243
University of lowa,111987
California Polytechnic University,63378
AeA/Stanford Executive Institute,814244
University of Reading,62623
Sydenham College,63489
Institute of Chartered Accountants of India (ICAI),125427
UCLA School of Law,640561
Colorado Technical University,82085
Galway Mayo Institute of Technology (GMIT),837180
Eton College,40238
Virginia Polytechnic Institute and State University (Virginia Tech),110197
Manchester Grammar School,40819
College of St Scholastica (CSS),248217
Royal College of Surgeons of England (RCSE),61720
European Board of Urology (EBU),1582380
Institute of Certified Public Accountants of Ireland (CPAI),591507
Vassar College,62845
Tel Aviv University,62031
University of Waterloo,62786
University of Santa Clara,492646
University of the Pacific (UOP),80656
Association of Professional Engineers and Geoscientists of Alberta (APEGA),86977
University of Calgary,86931
Indian Institute of Technology (IIT) Madras,486821
Brunel University,60225
Loomis Chaffee School,253932
University of Salford,62644
Lanchester Polytechnic,46843
Victoria College Jersey,65171
Bromsgrove School,37959
University of Nebraska-Lincoln,741543
Suffolk University,61968
Hobart College,100466
Fordham University,60696
Wellesley College,62904
Waverley College,63598
Chartered Accountants Australia and New Zealand (Formerly known as Institute of Chartered Accountants of Australia (ICAA)),63599
Albers School of Business and Economics Seattle University,864026
Ave Maria University,602237
University of Tulsa,89471
Universidad del Zulia,273122
DePaul University College of Law,420322
Nijenrode Business Universiteit (Nyenrode University),41458
Technion - Israel Institute of Technology (IIT),780210
University of Richmond,62632
Virginia Commonwealth University,62862
University of Warwick,62784
Richmond upon Thames College,1322627
Conservatoire National des Arts et Mtiers (CNAM),44500
HTS Alkmaar,1545977
University of Alexandria,74232
California Coast University,81593
National University of Ireland,63241
University of Gdansk,64778
Royal School of Mines Association (RSMA) Imperial College London,57700
Institute of Physics (IOP) (UK),38768
Lowell School,642971
University of Alberta,62142
University of Lethbridge,135087
Union College,62108
Singapore Institute of Arbitrators,857230
Johann Wolfgang Goethe Universitt Frankfurt am Main (Johann Wolfgang Goethe University of Frankfurt),60705
Tulane University,62098
Loyola College Baltimore,78308
Saint Louis University,78987
Northwestern University Pritzker School of Law,638744
Cardiff University,66948
Bradford University School of Management University of Bradford,1003042
University of Iowa,62375
Cal Poly University,484975
University of Saskatchewan,82843
Michigan Technological University,80851
Culver Stockton College,255632
Charles Widger School of Law Villanova University (Villanova University School of Law prior to 01/2016),466232
University of Sheffield,62659
London School of Hygiene and Tropical Medicine,42240
Institut Suprieur de Gestion (ISG),941554
Trinity College London,1352632
Turku School of Economics (Turun Kauppakorkeakoulu),74994
Universidad de Buenos Aires (UBA) (University of Buenos Aires),62206
The King's College,645534
International Coaching Federation (ICF),2556284
Instituto Catlico de Administracin y Direccin de Empresas (Catholic Institute of Business Administration and Management),63020
Institute for Fiscal Studies,48952
Instituto Catlico de Artes e Industrias,63585
American International Institute,2816007
Centre of Tax Studies,46478
Bernard M Baruch College City University of New York (CUNY),81866
King's College University of Durham,1206491
New Jersey Institute of Technology (NJIT),61413
Notre Dame High School,269797
State of North Carolina,78860
Pfeiffer University,422092
Weizmann Institute of Science (WIS),62903
Institut National de la Sant et de la Racherche Mdicale (INSERM) (French National Institute for Health and Medical Research),246206
Association of Certified Public Accountants (ACPA),1616230
University of Alabama (UA),62136
Birmingham School of Law,830199
University of Florida,62323
Duke University School of Medicine,80542
Institute of Certified Management Accountants (ICMA),826174
Davidson College,1795510
Goizueta Business School Emory University,104642
Norges Handelshyskole (Norwegian School of Economics and Business Administration) (NHH),61498
Corning Community College,440108
John F Kennedy School of Government Harvard University,37676
Manchester University (Manchester College Indiana prior to 07/2012),64610
University of Georgia (UGA),62333
University of Stirling,62686
St Andrews Presbyterian College,487061
California Polytechnic State University San Luis Obispo (Cal Poly San Luis Obispo),60249
University of Punjab Pakistan,82737
Rotterdam School of Management Erasmus University (RSM),88586
University of Helsinki,62355
Jacksonville University,61002
University of New Haven,62521
Asian Institute of Management (AIM),60084
University of Hong Kong,62359
Raimondi College & St. Stephen,63353
Centre National de la Recherche Scientifique (CNRS),34657
Indiana University of Pennsylvania,60925
Universit de Lausanne (University of Lausanne),62405
Albert Ludwigs Universitt Freiburg (Albert Ludwigs University of Freiburg),63243
